provider,catalog_endpoints,source,license
meta-ads,37,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
microsoft-ads,4,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
millionverifier,2,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
minimax,7,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
moz,12,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
oceanio,23,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
openrouter,31,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
pdl,22,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
pinterest-ads,6,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
polygon,6,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
predictleads,27,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
replicate,130,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
scrapecreators,171,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
semrush,11,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
seranking,11,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
serpapi,58,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
serpstat,12,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
slack,9,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
snapchat-ads,6,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
spyfu,6,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
thecompaniesapi,5,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
tiingo,4,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
tikhub,1002,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
tiktok,7,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
tiktok-ads,5,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
tomba,23,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
twelvedata,4,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
x,173,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
youtube,84,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
