vendor,name,kind,status,source,page,observed_on
Lindy,Brevo,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Canva Enterprise,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Coda,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,ConvertKit,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,DeepSeek,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,DigitalOcean,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Figma,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Firebase Admin SDK,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Intercom,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Klaviyo,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Mailerlite,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Mailgun,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Microsoft OneNote,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Microsoft Outlook Calendar,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Microsoft Sharepoint Online,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Netlify,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Squarespace,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Trello,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Twilio SendGrid,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Twitch,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Typeform,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Vercel,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Wix,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,WooCommerce,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,xAI,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Zendesk Sell,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Zendesk,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Anthropic (Claude),directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Cloudflare (API key),directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Linear API key,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,monday.com,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,ActiveCampaign,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Webflow,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Asana,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Freshdesk,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Jotform,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,MySQL,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Apollo.io,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,AWeber,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,BitBucket,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Bluesky,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Brex,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,CircleCI,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
